INSERT INTO Product (userID, pTitle, pDesc, pPrice, pLocation, postStatus) VALUES
(14,'2022, Subaru, Minivan, 15129$!','Location: Dorval, color: green, milage: 38247, transmission: automatic, fuel: hybrid.','15129','Dorval','AVAILABLE'),
(19,'2017, Ford, Minivan, 19683$!','Location: Île-Dorval, color: grey, milage: 105040, transmission: manual, fuel: gasoline.','19683','Île-Dorval','AVAILABLE'),
(30,'2015, Ford, Coupe, 11392$!','Location: Hampstead, color: grey, milage: 181860, transmission: automatic, fuel: gasoline.','11392','Hampstead','AVAILABLE'),
(29,'2012, Honda, SUV, 12355$!','Location: Île-Dorval, color: black, milage: 258336, transmission: manual, fuel: diesel.','12355','Île-Dorval','TRADED'),
(26,'2018, Toyota, Hatchback, 14957$!','Location: Montréal, color: black, milage: 87206, transmission: manual, fuel: diesel.','14957','Montréal','AVAILABLE'),
(15,'2021, Audi, Coupe, 13877$!','Location: Pointe-Claire, color: green, milage: 53204, transmission: automatic, fuel: gasoline.','13877','Pointe-Claire','AVAILABLE'),
(28,'2012, Audi, Sedan, 15080$!','Location: Westmount, color: blue, milage: 247390, transmission: automatic, fuel: gasoline.','15080','Westmount','AVAILABLE'),
(21,'2022, Mazda, Sedan, 16157$!','Location: Sainte-Anne-de-Bellevue, color: green, milage: 44466, transmission: manual, fuel: electric.','16157','Sainte-Anne-de-Bellevue','AVAILABLE'),
(30,'2015, Toyota, Coupe, 12037$!','Location: Montréal-Ouest, color: red, milage: 191120, transmission: manual, fuel: gasoline.','12037','Montréal-Ouest','AVAILABLE'),
(22,'2015, Suzuki, SUV, 16002$!','Location: Dollard-Des-Ormeaux, color: green, milage: 236020, transmission: automatic, fuel: hybrid.','16002','Dollard-Des-Ormeaux','AVAILABLE'),
(22,'2019, Fiat, SUV, 17721$!','Location: Dorval, color: red, milage: 92916, transmission: automatic, fuel: electric.','17721','Dorval','AVAILABLE'),
(25,'2021, Toyota, Sedan, 15173$!','Location: Senneville, color: white, milage: 64148, transmission: manual, fuel: electric.','15173','Senneville','TRADED'),
(26,'2012, Volvo, Hatchback, 14909$!','Location: Hampstead, color: black, milage: 192179, transmission: manual, fuel: gasoline.','14909','Hampstead','AVAILABLE'),
(15,'2012, BMW, SUV, 11790$!','Location: Westmount, color: red, milage: 308516, transmission: automatic, fuel: gasoline.','11790','Westmount','AVAILABLE'),
(22,'2015, GM, SUV, 19795$!','Location: Montréal, color: black, milage: 154710, transmission: manual, fuel: electric.','19795','Montréal','TRADED'),
(16,'2019, Fiat, Minivan, 11386$!','Location: Pointe-Claire, color: green, milage: 121272, transmission: automatic, fuel: hybrid.','11386','Pointe-Claire','AVAILABLE'),
(17,'2015, Toyota, Sedan, 17898$!','Location: Montréal-Est, color: red, milage: 230690, transmission: manual, fuel: diesel.','17898','Montréal-Est','TRADED'),
(18,'2022, GM, Wagon, 15575$!','Location: Montréal-Est, color: green, milage: 66678, transmission: manual, fuel: hybrid.','15575','Montréal-Est','AVAILABLE'),
(19,'2023, Nissan, Coupe, 17199$!','Location: Montréal, color: black, milage: 33360, transmission: automatic, fuel: hybrid.','17199','Montréal','TRADED'),
(10,'2022, Honda, Wagon, 16615$!','Location: Dollard-Des-Ormeaux, color: white, milage: 50913, transmission: automatic, fuel: gasoline.','16615','Dollard-Des-Ormeaux','AVAILABLE'),
(11,'2021, Audi, Hatchback, 17763$!','Location: Westmount, color: blue, milage: 81408, transmission: manual, fuel: diesel.','17763','Westmount','TRADED'),
(7,'2024, Mercedes, Coupe, 19918$!','Location: Westmount, color: white, milage: 19510, transmission: manual, fuel: gasoline.','19918','Westmount','AVAILABLE'),
(16,'2014, Fiat, Wagon, 20041$!','Location: Baie-Urfé, color: green, milage: 166485, transmission: automatic, fuel: diesel.','20041','Baie-Urfé','TRADED'),
(10,'2022, Audi, SUV, 15816$!','Location: Hampstead, color: black, milage: 41313, transmission: manual, fuel: diesel.','15816','Hampstead','AVAILABLE'),
(7,'2019, Subaru, SUV, 16742$!','Location: Montréal-Ouest, color: green, milage: 107814, transmission: manual, fuel: diesel.','16742','Montréal-Ouest','AVAILABLE'),
(18,'2014, Ford, Hatchback, 19972$!','Location: Westmount, color: blue, milage: 141504, transmission: manual, fuel: diesel.','19972','Westmount','AVAILABLE'),
(19,'2018, Toyota, Sedan, 19011$!','Location: Beaconsfield, color: blue, milage: 113736, transmission: automatic, fuel: electric.','19011','Beaconsfield','AVAILABLE'),
(16,'2014, Honda, Hatchback, 20682$!','Location: Dollard-Des-Ormeaux, color: blue, milage: 178574, transmission: automatic, fuel: diesel.','20682','Dollard-Des-Ormeaux','AVAILABLE'),
(27,'2024, Ford, Sedan, 20692$!','Location: Île-Dorval, color: white, milage: 23570, transmission: manual, fuel: gasoline.','20692','Île-Dorval','AVAILABLE'),
(11,'2016, Volvo, Wagon, 11331$!','Location: Senneville, color: grey, milage: 110700, transmission: automatic, fuel: hybrid.','11331','Senneville','AVAILABLE'),
(7,'2016, Nissan, Hatchback, 15659$!','Location: Baie-Urfé, color: black, milage: 202050, transmission: automatic, fuel: hybrid.','15659','Baie-Urfé','AVAILABLE'),
(18,'2015, GM, Coupe, 20319$!','Location: Côte-Saint-Luc, color: red, milage: 162930, transmission: automatic, fuel: hybrid.','20319','Côte-Saint-Luc','AVAILABLE'),
(29,'2015, Mercedes, SUV, 18090$!','Location: Dollard-Des-Ormeaux, color: blue, milage: 236970, transmission: automatic, fuel: hybrid.','18090','Dollard-Des-Ormeaux','AVAILABLE'),
(13,'2014, BMW, SUV, 19621$!','Location: Baie-Urfé, color: white, milage: 212641, transmission: manual, fuel: gasoline.','19621','Baie-Urfé','TRADED'),
(18,'2022, Honda, SUV, 11501$!','Location: Senneville, color: white, milage: 48234, transmission: automatic, fuel: hybrid.','11501','Senneville','AVAILABLE'),
(18,'2020, Mazda, Sedan, 14967$!','Location: Senneville, color: grey, milage: 117255, transmission: automatic, fuel: diesel.','14967','Senneville','AVAILABLE'),
(19,'2013, Fiat, SUV, 14264$!','Location: Westmount, color: green, milage: 196680, transmission: manual, fuel: diesel.','14264','Westmount','TRADED'),
(23,'2024, Nissan, Wagon, 12762$!','Location: Côte-Saint-Luc, color: white, milage: 16413, transmission: manual, fuel: gasoline.','12762','Côte-Saint-Luc','AVAILABLE'),
(19,'2020, GM, Coupe, 17600$!','Location: Kirkland, color: red, milage: 69335, transmission: automatic, fuel: diesel.','17600','Kirkland','TRADED'),
(21,'2014, Audi, Sedan, 14293$!','Location: Montréal-Ouest, color: black, milage: 167739, transmission: manual, fuel: diesel.','14293','Montréal-Ouest','AVAILABLE'),
(10,'2021, Suzuki, Wagon, 14055$!','Location: Pointe-Claire, color: black, milage: 49516, transmission: manual, fuel: diesel.','14055','Pointe-Claire','AVAILABLE'),
(16,'2020, Toyota, Wagon, 12184$!','Location: Montréal-Ouest, color: red, milage: 74185, transmission: automatic, fuel: electric.','12184','Montréal-Ouest','AVAILABLE'),
(23,'2014, Volvo, Coupe, 16177$!','Location: Westmount, color: white, milage: 164329, transmission: automatic, fuel: hybrid.','16177','Westmount','TRADED'),
(10,'2022, Mazda, Sedan, 15446$!','Location: Hampstead, color: black, milage: 50448, transmission: manual, fuel: diesel.','15446','Hampstead','TRADED'),
(21,'2023, Nissan, Minivan, 14447$!','Location: Senneville, color: white, milage: 35176, transmission: automatic, fuel: electric.','14447','Senneville','AVAILABLE'),
(12,'2023, Suzuki, Wagon, 16478$!','Location: Montréal, color: black, milage: 35884, transmission: automatic, fuel: hybrid.','16478','Montréal','AVAILABLE'),
(19,'2014, Suzuki, SUV, 20387$!','Location: Pointe-Claire, color: blue, milage: 193028, transmission: automatic, fuel: electric.','20387','Pointe-Claire','AVAILABLE'),
(8,'2014, Toyota, SUV, 14052$!','Location: Montréal, color: black, milage: 227887, transmission: manual, fuel: hybrid.','14052','Montréal','AVAILABLE'),
(26,'2018, GM, Coupe, 11829$!','Location: Côte-Saint-Luc, color: green, milage: 133441, transmission: automatic, fuel: hybrid.','11829','Côte-Saint-Luc','AVAILABLE'),
(27,'2022, Subaru, Sedan, 19046$!','Location: Westmount, color: blue, milage: 46872, transmission: manual, fuel: electric.','19046','Westmount','AVAILABLE'),
(19,'2022, Toyota, Hatchback, 15307$!','Location: Hampstead, color: white, milage: 46938, transmission: automatic, fuel: diesel.','15307','Hampstead','TRADED'),
(6,'2024, Toyota, Hatchback, 18585$!','Location: Senneville, color: grey, milage: 16662, transmission: automatic, fuel: electric.','18585','Senneville','TRADED'),
(26,'2024, GM, Wagon, 14398$!','Location: Île-Dorval, color: blue, milage: 16786, transmission: manual, fuel: diesel.','14398','Île-Dorval','TRADED'),
(8,'2020, Fiat, Minivan, 13157$!','Location: Sainte-Anne-de-Bellevue, color: blue, milage: 88775, transmission: manual, fuel: electric.','13157','Sainte-Anne-de-Bellevue','TRADED'),
(11,'2024, Suzuki, Minivan, 14507$!','Location: Île-Dorval, color: red, milage: 21847, transmission: automatic, fuel: electric.','14507','Île-Dorval','AVAILABLE'),
(10,'2014, GM, Coupe, 21014$!','Location: Hampstead, color: black, milage: 156123, transmission: automatic, fuel: electric.','21014','Hampstead','AVAILABLE'),
(22,'2015, BMW, Coupe, 12421$!','Location: Sainte-Anne-de-Bellevue, color: white, milage: 191540, transmission: manual, fuel: gasoline.','12421','Sainte-Anne-de-Bellevue','AVAILABLE'),
(22,'2021, Subaru, SUV, 16484$!','Location: Westmount, color: black, milage: 68612, transmission: manual, fuel: diesel.','16484','Westmount','AVAILABLE'),
(15,'2012, Nissan, Hatchback, 17779$!','Location: Pointe-Claire, color: blue, milage: 204399, transmission: automatic, fuel: gasoline.','17779','Pointe-Claire','AVAILABLE'),
(8,'2019, Mazda, Wagon, 17915$!','Location: Hampstead, color: white, milage: 112098, transmission: manual, fuel: hybrid.','17915','Hampstead','AVAILABLE'),
